,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred,runtime_score,error_score
68,68,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
69,69,lulesh,INVALID,0.755747,1,0.0,0,-1.0,-1.0,-1.0,-1.0
70,70,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
71,71,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
72,72,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
73,73,lulesh,INVALID,15.09769,1,0.026845026192859,0,-1.0,-1.0,-1.0,-1.0
74,74,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
75,75,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
76,76,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
77,77,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
78,78,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
79,79,lulesh,VALID,15.654393000000002,1,2.273633981531e-05,1,-1.0,-1.0,-1.0,-1.0
80,80,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
81,81,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
82,82,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
83,83,lulesh,INVALID,2.890709,1,0.0,0,-1.0,-1.0,-1.0,-1.0
84,84,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
85,85,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
86,86,lulesh,INVALID,0.770181,1,0.0,0,-1.0,-1.0,-1.0,-1.0
87,87,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
88,88,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
