,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred
162,162,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
163,163,cg,INVALID,1.220297,1,                -NAN,0,1.0,1.0
164,164,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
165,165,cg,VALID,1.2978352,1, 1.7130235671997E+01,1,1.0,1.0
166,166,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
167,167,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
168,168,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
169,169,cg,VALID,1.0766654,1, 1.7130235671997E+01,1,1.0,1.0
170,170,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
171,171,cg,VALID,1.0872476,1, 1.7130235671997E+01,1,1.0,1.0
172,172,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
173,173,cg,VALID,1.0863203000000001,1, 1.7130235671997E+01,1,1.0,1.0
174,174,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
175,175,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
176,176,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
177,177,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
178,178,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
179,179,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
180,180,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
181,181,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
182,182,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
183,183,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
184,184,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
185,185,cg,INVALID,1.257223,1, 1.2650092124939E+01,0,1.0,1.0
186,186,cg,FAIL,-1.0,-1,-1,-1,0.0,0.0
187,187,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
188,188,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
189,189,cg,INVALID,1.187952,1,                -NAN,0,1.0,1.0
190,190,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
191,191,cg,INVALID,1.205773,1,                -NAN,0,1.0,1.0
192,192,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
193,193,cg,VALID,1.135558,1, 1.7130235671997E+01,1,1.0,1.0
194,194,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
195,195,cg,VALID,1.2279553,1, 1.7130235671997E+01,1,1.0,1.0
196,196,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
197,197,cg,VALID,3.2476103000000003,0, 1.7130235671997E+01,1,1.0,1.0
198,198,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
199,199,cg,VALID,1.1501218,1, 1.7130235671997E+01,1,1.0,1.0
200,200,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
201,201,cg,VALID,1.0787395,1, 1.7130235671997E+01,1,1.0,1.0
202,202,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
203,203,cg,VALID,1.1148579,1, 1.7130235671997E+01,1,1.0,1.0
204,204,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
205,205,cg,VALID,1.0493967,1, 1.7130235671997E+01,1,1.0,1.0
206,206,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
207,207,cg,VALID,1.1866230999999998,1, 1.7130235671997E+01,1,1.0,1.0
208,208,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
209,209,cg,VALID,1.1160057999999997,1, 1.7130235671997E+01,1,1.0,1.0
210,210,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
211,211,cg,VALID,1.0256067000000002,1, 1.7130235671997E+01,1,1.0,1.0
212,212,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
213,213,cg,INVALID,1.200729,1, 7.1265898437500E+03,0,1.0,1.0
214,214,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
215,215,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
216,216,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
217,217,cg,VALID,1.0277667999999998,1, 1.7130235671997E+01,1,1.0,1.0
218,218,cg,INVALID,-1.0,-1,-1,-1,1.0,0.0
