,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred,runtime_score,error_score
129,129,spec_lbm,INVALID,154.849449084,1,1.6779851246150E-07,0,1.0,1.0,0.6566479802131653,0.6577098965644836
130,130,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4383428692817688,0.07174862176179886
131,131,spec_lbm,INVALID,166.818146978,1,2.4973400372680E-05,0,1.0,1.0,0.6305779218673706,0.7090709209442139
132,132,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4818015396595001,0.32006117701530457
133,133,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.29181310534477234,0.1721450835466385
134,134,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4137432873249054,0.12020864337682724
135,135,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.37436968088150024,0.34640616178512573
136,136,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5117228031158447,0.15379637479782104
137,137,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5641713738441467,0.3370397388935089
138,138,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.24932768940925598,0.07877609133720398
139,139,spec_lbm,VALID,152.945327391,1,1.5018930121204E-08,1,1.0,1.0,0.5744422674179077,0.6364116668701172
140,140,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.46833527088165283,0.11884696781635284
141,141,spec_lbm,INVALID,158.058690749,1,2.1621346123210E-05,0,1.0,1.0,0.6175912022590637,0.5651320219039917
142,142,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.49331972002983093,0.19152092933654785
143,143,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.491976797580719,0.18851660192012787
144,144,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.34570541977882385,0.11282756179571152
145,145,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.6386117339134216,0.3816043734550476
146,146,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.49992382526397705,0.10270477086305618
147,147,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.4916440546512604,0.3427484631538391
148,148,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.44453054666519165,0.119366355240345
149,149,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5410066843032837,0.27925804257392883
150,150,spec_lbm,FAIL,-1.0,-1,-1,-1,0.0,0.0,0.46611493825912476,0.09420404583215714
151,151,spec_lbm,INVALID,159.829717484,1,1.1356503940755E-05,0,1.0,1.0,0.5272977352142334,0.5052639842033386
