,benchmark,label,runtime,runtime_label,error,error_label
87,mg,INVALID,1.083012,1, 1.8720076155887E-08,0
88,mg,FAIL,9999.0,0,,0
89,mg,FAIL,9999.0,0,,0
90,mg,INVALID,1.241511,0, 0.0000000000000E+00,0
91,mg,INVALID,1.828321,0, 5.3714535897598E-04,0
92,mg,FAIL,9999.0,0,,0
93,mg,INVALID,1.196013,0,5.2986225510468E-311,0
94,mg,INVALID,1.149228,1, 0.0000000000000E+00,0
95,mg,FAIL,9999.0,0,,0
96,mg,FAIL,9999.0,0,,0
97,mg,INVALID,1.090121,1,                -NAN,0
98,mg,INVALID,1.156948,1, 0.0000000000000E+00,0
99,mg,INVALID,1.089289,1, 3.2650100365572E-06,0
100,mg,FAIL,9999.0,0,,0
101,mg,INVALID,1.082572,1, 2.4688458779565E-06,0
102,mg,FAIL,9999.0,0,,0
103,mg,INVALID,1.082694,1, 4.6818145165162E-06,0
104,mg,FAIL,9999.0,0,,0
105,mg,INVALID,1.091094,1,                 NAN,0
106,mg,FAIL,9999.0,0,,0
107,mg,INVALID,1.154444,1,2.5028737166816E-315,0
108,mg,FAIL,9999.0,0,,0
109,mg,INVALID,1.110813,1, 1.4576958492398E-02,0
110,mg,FAIL,9999.0,0,,0
111,mg,FAIL,9999.0,0,,0
112,mg,FAIL,9999.0,0,,0
113,mg,INVALID,1.151644,1, 1.8720076155887E-08,0
114,mg,FAIL,9999.0,0,,0
115,mg,VALID,1.1326064000000002,1, 2.4333653527719E-06,1
116,mg,FAIL,9999.0,0,,0
117,mg,FAIL,9999.0,0,,0
118,mg,FAIL,9999.0,0,,0
119,mg,VALID,1.104861,1, 2.4333653527719E-06,1
120,mg,INVALID,1.151295,1, 0.0000000000000E+00,0
121,mg,INVALID,1.094503,1, 2.6978348159901E-06,0
122,mg,FAIL,9999.0,0,,0
123,mg,INVALID,1.079507,1, 2.2699526743963E-04,0
124,mg,VALID,1.0943828,1, 2.4333653527719E-06,1
125,mg,FAIL,9999.0,0,,0
126,mg,INVALID,1.116058,1,5.2975622331121E-311,0
127,mg,FAIL,9999.0,0,,0
128,mg,INVALID,1.067259,1,1.3629301168261E-312,0
129,mg,FAIL,9999.0,0,,0
130,mg,FAIL,9999.0,0,,0
131,mg,INVALID,3.006204,0, 8.5299225247581E-06,0
132,mg,FAIL,9999.0,0,,0
133,mg,INVALID,6.72904,0,                -NAN,0
134,mg,FAIL,9999.0,0,,0
135,mg,INVALID,1.098948,1,5.2975622331121E-311,0
136,mg,INVALID,1.171273,0,1.3580773062178E-312,0
137,mg,FAIL,9999.0,0,,0
138,mg,FAIL,9999.0,0,,0
139,mg,INVALID,1.187747,0, 4.6750669753237E-06,0
140,mg,FAIL,9999.0,0,,0
141,mg,FAIL,9999.0,0,,0
142,mg,FAIL,9999.0,0,,0
143,mg,INVALID,4.960564,0,                 INF,0
144,mg,FAIL,9999.0,0,,0
145,mg,FAIL,9999.0,0,,0
146,mg,FAIL,9999.0,0,,0
147,mg,INVALID,1.109805,1,                -NAN,0
148,mg,FAIL,9999.0,0,,0
149,mg,INVALID,1.092824,1,5.2986225510468E-311,0
150,mg,FAIL,9999.0,0,,0
151,mg,VALID,1.1061874,1, 2.4333653527719E-06,1
152,mg,FAIL,9999.0,0,,0
153,mg,VALID,1.0989483,1, 2.4333653527719E-06,1
154,mg,INVALID,1.188629,0,1.3580773062178E-312,0
155,mg,FAIL,9999.0,0,,0
156,mg,FAIL,9999.0,0,,0
157,mg,INVALID,1.197296,0, 4.6750669753237E-06,0
158,mg,FAIL,9999.0,0,,0
159,mg,INVALID,1.116461,1, 1.5657730400562E-02,0
160,mg,FAIL,9999.0,0,,0
161,mg,FAIL,9999.0,0,,0
162,mg,FAIL,9999.0,0,,0
163,mg,INVALID,4.976463,0,                 INF,0
164,mg,INVALID,1.152924,0, 0.0000000000000E+00,0
165,mg,INVALID,1.087991,1, 2.6978348159901E-06,0
166,mg,FAIL,9999.0,0,,0
167,mg,FAIL,9999.0,0,,0
168,mg,FAIL,9999.0,0,,0
169,mg,INVALID,1.069057,1,                -NAN,0
170,mg,FAIL,9999.0,0,,0
171,mg,INVALID,1.090732,1,                 NAN,0
172,mg,FAIL,9999.0,0,,0
173,mg,INVALID,1.120451,1,                -NAN,0
174,mg,FAIL,9999.0,0,,0
175,mg,INVALID,1.084062,1,5.2969502457307E-311,0
176,mg,FAIL,9999.0,0,,0
177,mg,VALID,1.0855788,1, 2.4333653527719E-06,1
178,mg,FAIL,9999.0,0,,0
179,mg,INVALID,1.091519,1,2.4054531411801E-315,0
180,mg,INVALID,1.166289,0, 0.0000000000000E+00,0
181,mg,FAIL,9999.0,0,,0
182,mg,FAIL,9999.0,0,,0
183,mg,INVALID,1.634468,0, 4.6750669753237E-06,0
184,mg,FAIL,9999.0,0,,0
185,mg,INVALID,1.091372,1, 2.4688458779565E-06,0
186,mg,FAIL,9999.0,0,,0
187,mg,INVALID,1.127857,1, 1.4576958492398E-02,0
188,mg,FAIL,9999.0,0,,0
189,mg,INVALID,1.078904,1, 1.8720076155887E-08,0
190,mg,FAIL,9999.0,0,,0
191,mg,FAIL,9999.0,0,,0
192,mg,FAIL,9999.0,0,,0
193,mg,INVALID,4.948947,0,                 INF,0
194,mg,FAIL,9999.0,0,,0
195,mg,VALID,1.0888262000000002,1, 2.4333653527719E-06,1
196,mg,INVALID,1.964067,0, 0.0000000000000E+00,0
197,mg,INVALID,1.124415,1, 4.4610584154725E-04,0
198,mg,FAIL,9999.0,0,,0
199,mg,FAIL,9999.0,0,,0
200,mg,FAIL,9999.0,0,,0
201,mg,INVALID,1.142739,1, 3.6354606436362E-06,0
202,mg,FAIL,9999.0,0,,0
203,mg,INVALID,1.08846,1,                -NAN,0
204,mg,FAIL,9999.0,0,,0
205,mg,INVALID,1.114936,1,                 NAN,0
206,mg,FAIL,9999.0,0,,0
207,mg,INVALID,1.093048,1,                -NAN,0
208,mg,FAIL,9999.0,0,,0
209,mg,INVALID,1.09019,1,5.2969502457307E-311,0
210,mg,FAIL,9999.0,0,,0
211,mg,VALID,1.1885868,0, 2.4333653527719E-06,1
212,mg,FAIL,9999.0,0,,0
213,mg,VALID,1.092667,1, 2.4333653527719E-06,1
214,mg,FAIL,9999.0,0,,0
215,mg,VALID,1.1005664,1, 2.4333653527719E-06,1
216,mg,FAIL,9999.0,0,,0
217,mg,VALID,1.170307,0, 2.4333653527719E-06,1
218,mg,FAIL,9999.0,0,,0
219,mg,INVALID,1.094378,1,2.5203786601400E-315,0
220,mg,INVALID,1.162889,0, 0.0000000000000E+00,0
221,mg,FAIL,9999.0,0,,0
222,mg,INVALID,1.160858,0, 0.0000000000000E+00,0
223,mg,INVALID,1.09499,1, 3.8228745324886E-06,0
224,mg,FAIL,9999.0,0,,0
225,mg,INVALID,1.198573,0, 2.4309413220180E-06,0
226,mg,FAIL,9999.0,0,,0
227,mg,INVALID,1.095049,1, 4.6818145165162E-06,0
228,mg,FAIL,9999.0,0,,0
229,mg,VALID,1.0998639999999997,1, 2.4333653527719E-06,1
230,mg,FAIL,9999.0,0,,0
231,mg,INVALID,1.087796,1, 2.4688458779565E-06,0
232,mg,FAIL,9999.0,0,,0
233,mg,VALID,1.0947901,1, 2.4333653527719E-06,1
234,mg,FAIL,9999.0,0,,0
235,mg,INVALID,1.129928,1, 1.4576958492398E-02,0
236,mg,FAIL,9999.0,0,,0
237,mg,INVALID,1.076214,1, 1.8720076155887E-08,0
238,mg,FAIL,9999.0,0,,0
239,mg,VALID,1.0719995,1, 2.4333653527719E-06,1
240,mg,FAIL,9999.0,0,,0
241,mg,FAIL,9999.0,0,,0
242,mg,FAIL,9999.0,0,,0
243,mg,VALID,1.1000377,1, 2.4333653527719E-06,1
244,mg,FAIL,9999.0,0,,0
