,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred
327,327,mg,FAIL,-1.0,-1,-1,-1,0.0,0.0
328,328,mg,FAIL,9999.0,0,,0,-1.0,-1.0
329,329,mg,FAIL,9849.015,0,,0,1.0,1.0
330,330,mg,FAIL,9999.0,0,,0,-1.0,-1.0
331,331,mg,INVALID,1.051143735,1,                -NAN,0,1.0,1.0
332,332,mg,FAIL,9999.0,0,,0,-1.0,-1.0
333,333,mg,INVALID,1.104702125,1,                 NAN,0,1.0,1.0
334,334,mg,FAIL,9999.0,0,,0,-1.0,-1.0
335,335,mg,INVALID,-1.0,-1,-1,-1,1.0,0.0
336,336,mg,FAIL,-1.0,-1,-1,-1,0.0,0.0
337,337,mg,INVALID,-1.0,-1,-1,-1,1.0,0.0
338,338,mg,FAIL,9999.0,0,,0,-1.0,-1.0
339,339,mg,INVALID,-1.0,-1,-1,-1,1.0,0.0
340,340,mg,FAIL,-1.0,-1,-1,-1,0.0,0.0
341,341,mg,INVALID,-1.0,-1,-1,-1,1.0,0.0
342,342,mg,FAIL,9999.0,0,,0,-1.0,-1.0
343,343,mg,FAIL,9849.015,0,,0,1.0,1.0
344,344,mg,FAIL,9999.0,0,,0,-1.0,-1.0
345,345,mg,FAIL,9849.015,0,,0,1.0,1.0
346,346,mg,FAIL,9999.0,0,,0,-1.0,-1.0
347,347,mg,INVALID,1.0544109799999999,1,                -NAN,0,1.0,1.0
348,348,mg,FAIL,9999.0,0,,0,-1.0,-1.0
349,349,mg,INVALID,4.8686806549999995,0, 3.8036115719507E+29,0,1.0,1.0
350,350,mg,FAIL,9999.0,0,,0,-1.0,-1.0
351,351,mg,INVALID,1.083307925,1,                -NAN,0,1.0,1.0
352,352,mg,FAIL,9999.0,0,,0,-1.0,-1.0
353,353,mg,FAIL,9849.015,0,,0,1.0,1.0
354,354,mg,FAIL,9999.0,0,,0,-1.0,-1.0
355,355,mg,INVALID,-1.0,-1,-1,-1,1.0,0.0
